word,score,id
abysmal,-5,
adverse,-5,
alarming,-5,
angry,-5,
annoy,-5,
anxious,-5,
apathy,-5,
appalling,-5,
atrocious,-5,
awful,-5,
bad,-5,
banal,-5,
barbed,-5,
belligerent,-5,
bemoan,-5,
beneath,-5,
boring,-5,
broken,-5,
callous,-5,
can't,-5,
clumsy,-5,
coarse,-5,
cold,-5,
cold-hearted,-5,
collapse,-5,
confused,-5,
contradictory,-5,
contrary,-5,
corrosive,-5,
corrupt,-5,
crazy,-5,
creepy,-5,
criminal,-5,
cruel,-5,
cry,-5,
cutting,-5,
damage,-5,
damaging,-5,
dastardly,-5,
dead,-5,
decaying,-5,
deformed,-5,
deny,-5,
deplorable,-5,
depressed,-5,
deprived,-5,
despicable,-5,
detrimental,-5,
dirty,-5,
disease,-5,
disgusting,-5,
disheveled,-5,
dishonest,-5,
dishonorable,-5,
dismal,-5,
distress,-5,
don't,-5,
dreadful,-5,
dreary,-5,
enraged,-5,
eroding,-5,
evil,-5,
fail,-5,
faulty,-5,
fear,-5,
feeble,-5,
fight,-5,
filthy,-5,
foul,-5,
frighten,-5,
frightful,-5,
gawky,-5,
ghastly,-5,
grave,-5,
greed,-5,
grim,-5,
grimace,-5,
gross,-5,
grotesque,-5,
gruesome,-5,
guilty,-5,
haggard,-5,
hard,-5,
hard-hearted,-5,
harmful,-5,
hate,-5,
hideous,-5,
homely,-5,
horrendous,-5,
horrible,-5,
hostile,-5,
hurt,-5,
hurtful,-5,
icky,-5,
ignorant,-5,
ignore,-5,
ill,-5,
immature,-5,
imperfect,-5,
impossible,-5,
inane,-5,
inelegant,-5,
infernal,-5,
injure,-5,
injurious,-5,
insane,-5,
insidious,-5,
insipid,-5,
jealous,-5,
junky,-5,
lose,-5,
lousy,-5,
lumpy,-5,
malicious,-5,
mean,-5,
menacing,-5,
messy,-5,
misshapen,-5,
missing,-5,
misunderstood,-5,
moan,-5,
moldy,-5,
monstrous,-5,
naive,-5,
nasty,-5,
naughty,-5,
negate,-5,
negative,-5,
never,-5,
no,-5,
nobody,-5,
nondescript,-5,
nonsense,-5,
not,-5,
noxious,-5,
objectionable,-5,
odious,-5,
offensive,-5,
old,-5,
oppressive,-5,
pain,-5,
perturb,-5,
pessimistic,-5,
petty,-5,
plain,-5,
poisonous,-5,
poor,-5,
prejudice,-5,
questionable,-5,
quirky,-5,
quit,-5,
reject,-5,
renege,-5,
repellant,-5,
reptilian,-5,
repugnant,-5,
repulsive,-5,
revenge,-5,
revolting,-5,
rocky,-5,
rotten,-5,
rude,-5,
ruthless,-5,
sad,-5,
savage,-5,
scare,-5,
scary,-5,
scream,-5,
severe,-5,
shocking,-5,
shoddy,-5,
sick,-5,
sickening,-5,
sinister,-5,
slimy,-5,
smelly,-5,
sobbing,-5,
sorry,-5,
spiteful,-5,
sticky,-5,
stinky,-5,
stormy,-5,
stressful,-5,
stuck,-5,
stupid,-5,
substandard,-5,
suspect,-5,
suspicious,-5,
tense,-5,
terrible,-5,
terrifying,-5,
threatening,-5,
ugly,-5,
undermine,-5,
unfair,-5,
unfavorable,-5,
unhappy,-5,
unhealthy,-5,
unjust,-5,
unlucky,-5,
unpleasant,-5,
unsatisfactory,-5,
unsightly,-5,
untoward,-5,
unwanted,-5,
unwelcome,-5,
unwholesome,-5,
unwieldy,-5,
unwise,-5,
upset,-5,
vice,-5,
vicious,-5,
vile,-5,
villainous,-5,
vindictive,-5,
wary,-5,
weary,-5,
wicked,-5,
woeful,-5,
worthless,-5,
wound,-5,
yell,-5,
yucky,-5,
zero,-5,
